,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,DayName,Time,Week
210,2018/03/20 18:00,N,EB1,main,edu,39.38,2018-03-20,2,Tuesday,18:00,12
211,2018/03/20 19:00,N,EB1,main,edu,39.88,2018-03-20,2,Tuesday,19:00,12
212,2018/03/20 20:00,N,EB1,main,edu,30.5,2018-03-20,2,Tuesday,20:00,12
213,2018/03/20 21:00,N,EB1,main,edu,26.5,2018-03-20,2,Tuesday,21:00,12
214,2018/03/20 22:00,N,EB1,main,edu,19.88,2018-03-20,2,Tuesday,22:00,12
215,2018/03/20 23:00,N,EB1,main,edu,17.0,2018-03-20,2,Tuesday,23:00,12
216,2018/03/21 00:00,N,EB1,main,edu,15.5,2018-03-21,3,Wednesday,00:00,12
217,2018/03/21 01:00,N,EB1,main,edu,15.88,2018-03-21,3,Wednesday,01:00,12
218,2018/03/21 02:00,N,EB1,main,edu,14.75,2018-03-21,3,Wednesday,02:00,12
219,2018/03/21 03:00,N,EB1,main,edu,14.88,2018-03-21,3,Wednesday,03:00,12
220,2018/03/21 04:00,N,EB1,main,edu,15.13,2018-03-21,3,Wednesday,04:00,12
221,2018/03/21 05:00,N,EB1,main,edu,14.63,2018-03-21,3,Wednesday,05:00,12
222,2018/03/21 06:00,N,EB1,main,edu,14.88,2018-03-21,3,Wednesday,06:00,12
223,2018/03/21 07:00,N,EB1,main,edu,17.0,2018-03-21,3,Wednesday,07:00,12
224,2018/03/21 08:00,N,EB1,main,edu,22.38,2018-03-21,3,Wednesday,08:00,12
225,2018/03/21 09:00,N,EB1,main,edu,25.25,2018-03-21,3,Wednesday,09:00,12
226,2018/03/21 10:00,N,EB1,main,edu,27.0,2018-03-21,3,Wednesday,10:00,12
227,2018/03/21 11:00,N,EB1,main,edu,32.88,2018-03-21,3,Wednesday,11:00,12
228,2018/03/21 12:00,N,EB1,main,edu,32.13,2018-03-21,3,Wednesday,12:00,12
229,2018/03/21 13:00,N,EB1,main,edu,33.0,2018-03-21,3,Wednesday,13:00,12
230,2018/03/21 14:00,N,EB1,main,edu,35.38,2018-03-21,3,Wednesday,14:00,12
231,2018/03/21 15:00,N,EB1,main,edu,38.63,2018-03-21,3,Wednesday,15:00,12
232,2018/03/21 16:00,N,EB1,main,edu,37.63,2018-03-21,3,Wednesday,16:00,12
233,2018/03/21 17:00,N,EB1,main,edu,32.5,2018-03-21,3,Wednesday,17:00,12
234,2018/03/21 18:00,N,EB1,main,edu,27.0,2018-03-21,3,Wednesday,18:00,12
235,2018/03/21 19:00,N,EB1,main,edu,26.63,2018-03-21,3,Wednesday,19:00,12
236,2018/03/21 20:00,N,EB1,main,edu,25.13,2018-03-21,3,Wednesday,20:00,12
237,2018/03/21 21:00,N,EB1,main,edu,24.88,2018-03-21,3,Wednesday,21:00,12
238,2018/03/21 22:00,N,EB1,main,edu,23.63,2018-03-21,3,Wednesday,22:00,12
239,2018/03/21 23:00,N,EB1,main,edu,21.0,2018-03-21,3,Wednesday,23:00,12
240,2018/03/22 00:00,N,EB1,main,edu,20.13,2018-03-22,4,Thursday,00:00,12
241,2018/03/22 01:00,N,EB1,main,edu,20.5,2018-03-22,4,Thursday,01:00,12
242,2018/03/22 02:00,N,EB1,main,edu,20.38,2018-03-22,4,Thursday,02:00,12
243,2018/03/22 03:00,N,EB1,main,edu,20.88,2018-03-22,4,Thursday,03:00,12
244,2018/03/22 04:00,N,EB1,main,edu,20.63,2018-03-22,4,Thursday,04:00,12
245,2018/03/22 05:00,N,EB1,main,edu,20.38,2018-03-22,4,Thursday,05:00,12
246,2018/03/22 06:00,N,EB1,main,edu,19.63,2018-03-22,4,Thursday,06:00,12
247,2018/03/22 07:00,N,EB1,main,edu,21.88,2018-03-22,4,Thursday,07:00,12
248,2018/03/22 08:00,N,EB1,main,edu,24.5,2018-03-22,4,Thursday,08:00,12
249,2018/03/22 09:00,N,EB1,main,edu,35.38,2018-03-22,4,Thursday,09:00,12
250,2018/03/22 10:00,N,EB1,main,edu,40.38,2018-03-22,4,Thursday,10:00,12
251,2018/03/22 11:00,N,EB1,main,edu,42.38,2018-03-22,4,Thursday,11:00,12
252,2018/03/22 12:00,N,EB1,main,edu,37.0,2018-03-22,4,Thursday,12:00,12
253,2018/03/22 13:00,N,EB1,main,edu,38.25,2018-03-22,4,Thursday,13:00,12
254,2018/03/22 14:00,N,EB1,main,edu,44.0,2018-03-22,4,Thursday,14:00,12
255,2018/03/22 15:00,N,EB1,main,edu,42.38,2018-03-22,4,Thursday,15:00,12
256,2018/03/22 16:00,N,EB1,main,edu,39.25,2018-03-22,4,Thursday,16:00,12
257,2018/03/22 17:00,N,EB1,main,edu,35.75,2018-03-22,4,Thursday,17:00,12
258,2018/03/22 18:00,N,EB1,main,edu,34.0,2018-03-22,4,Thursday,18:00,12
259,2018/03/22 19:00,N,EB1,main,edu,26.75,2018-03-22,4,Thursday,19:00,12
260,2018/03/22 20:00,N,EB1,main,edu,22.13,2018-03-22,4,Thursday,20:00,12
261,2018/03/22 21:00,N,EB1,main,edu,19.13,2018-03-22,4,Thursday,21:00,12
262,2018/03/22 22:00,N,EB1,main,edu,17.25,2018-03-22,4,Thursday,22:00,12
263,2018/03/22 23:00,N,EB1,main,edu,17.0,2018-03-22,4,Thursday,23:00,12
264,2018/03/23 00:00,N,EB1,main,edu,16.88,2018-03-23,5,Friday,00:00,12
265,2018/03/23 01:00,N,EB1,main,edu,17.0,2018-03-23,5,Friday,01:00,12
266,2018/03/23 02:00,N,EB1,main,edu,17.0,2018-03-23,5,Friday,02:00,12
267,2018/03/23 03:00,N,EB1,main,edu,17.0,2018-03-23,5,Friday,03:00,12
268,2018/03/23 04:00,N,EB1,main,edu,17.25,2018-03-23,5,Friday,04:00,12
269,2018/03/23 05:00,N,EB1,main,edu,16.88,2018-03-23,5,Friday,05:00,12
270,2018/03/23 06:00,N,EB1,main,edu,16.88,2018-03-23,5,Friday,06:00,12
271,2018/03/23 07:00,N,EB1,main,edu,18.63,2018-03-23,5,Friday,07:00,12
272,2018/03/23 08:00,N,EB1,main,edu,22.5,2018-03-23,5,Friday,08:00,12
273,2018/03/23 09:00,N,EB1,main,edu,32.0,2018-03-23,5,Friday,09:00,12
274,2018/03/23 10:00,N,EB1,main,edu,34.38,2018-03-23,5,Friday,10:00,12
275,2018/03/23 11:00,N,EB1,main,edu,32.13,2018-03-23,5,Friday,11:00,12
276,2018/03/23 12:00,N,EB1,main,edu,32.88,2018-03-23,5,Friday,12:00,12
277,2018/03/23 13:00,N,EB1,main,edu,33.75,2018-03-23,5,Friday,13:00,12
278,2018/03/23 14:00,N,EB1,main,edu,37.63,2018-03-23,5,Friday,14:00,12
279,2018/03/23 15:00,N,EB1,main,edu,40.13,2018-03-23,5,Friday,15:00,12
280,2018/03/23 16:00,N,EB1,main,edu,35.13,2018-03-23,5,Friday,16:00,12
281,2018/03/23 17:00,N,EB1,main,edu,32.13,2018-03-23,5,Friday,17:00,12
282,2018/03/23 18:00,N,EB1,main,edu,28.63,2018-03-23,5,Friday,18:00,12
283,2018/03/23 19:00,N,EB1,main,edu,28.13,2018-03-23,5,Friday,19:00,12
284,2018/03/23 20:00,N,EB1,main,edu,26.75,2018-03-23,5,Friday,20:00,12
285,2018/03/23 21:00,N,EB1,main,edu,24.75,2018-03-23,5,Friday,21:00,12
286,2018/03/23 22:00,N,EB1,main,edu,20.75,2018-03-23,5,Friday,22:00,12
287,2018/03/23 23:00,N,EB1,main,edu,17.5,2018-03-23,5,Friday,23:00,12
